time(1)          time(2)          stran(1)         stran(2)         stran(3)         stran(4)         stran(5)         stran(6)         stress(1)        stress(2)        stress(3)        stress(4)        stress(5)        stress(6)        statev(001)      statev(002)      statev(003)      statev(004)      statev(005)      statev(006)      statev(007)      statev(008)      statev(009)      statev(010)      statev(011)      statev(012)      statev(013)      statev(014)      statev(015)      statev(016)      statev(017)      statev(018)      statev(019)      statev(020)      statev(021)      statev(022)      statev(023)      statev(024)      statev(025)      statev(026)      statev(027)      statev(028)      statev(029)      statev(030)      statev(031)      statev(032)      statev(033)      statev(034)      statev(035)      statev(036)      statev(037)      statev(038)      statev(039)      statev(040)      statev(041)      statev(042)      statev(043)      statev(044)      statev(045)      statev(046)      statev(047)      statev(048)      statev(049)      statev(050)      statev(051)      statev(052)      statev(053)      statev(054)      statev(055)      statev(056)      statev(057)      statev(058)      statev(059)      statev(060)      statev(061)      statev(062)      statev(063)      statev(064)      statev(065)      statev(066)      statev(067)      statev(068)      
0.42200000E-01   0.42200000E-01   -.16826988       0.12803682       0.12803682        0.0000000        0.0000000        0.0000000       -165.65445       -37.181826       -37.181826        0.0000000        0.0000000        0.0000000       0.70316722        0.0000000       0.38399033E-01    104.14270        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.802462        100.09877        100.09877        0.0000000        0.0000000        0.0000000        55475.000       0.89489733E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34214550        0.0000000       0.34214550        0.0000000       0.34214179       0.34214550        1.0000000        0.0000000       0.34214550        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42225000E-01   0.42225000E-01   -.16836956       0.12811427       0.12811427        0.0000000        0.0000000        0.0000000       -165.65763       -37.182540       -37.182540        0.0000000        0.0000000        0.0000000       0.70326124        0.0000000       0.38399546E-01    104.14470        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.802344        100.09883        100.09883        0.0000000        0.0000000        0.0000000        55475.000       0.89383628E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34235004        0.0000000       0.34235004        0.0000000       0.34234632       0.34235004        1.0000000        0.0000000       0.34235004        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42250000E-01   0.42250000E-01   -.16846925       0.12819171       0.12819171        0.0000000        0.0000000        0.0000000       -165.66081       -37.183253       -37.183253        0.0000000        0.0000000        0.0000000       0.70335527        0.0000000       0.38400058E-01    104.14670        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.802226        100.09889        100.09889        0.0000000        0.0000000        0.0000000        55475.000       0.89277712E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34255457        0.0000000       0.34255457        0.0000000       0.34255085       0.34255457        1.0000000        0.0000000       0.34255457        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42275000E-01   0.42275000E-01   -.16856893       0.12826915       0.12826915        0.0000000        0.0000000        0.0000000       -165.66400       -37.183969       -37.183969        0.0000000        0.0000000        0.0000000       0.70344930        0.0000000       0.38400572E-01    104.14870        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.802108        100.09895        100.09895        0.0000000        0.0000000        0.0000000        55475.000       0.89171984E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34275910        0.0000000       0.34275910        0.0000000       0.34275538       0.34275910        1.0000000        0.0000000       0.34275910        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42300000E-01   0.42300000E-01   -.16866862       0.12834660       0.12834660        0.0000000        0.0000000        0.0000000       -165.66718       -37.184683       -37.184683        0.0000000        0.0000000        0.0000000       0.70354333        0.0000000       0.38401084E-01    104.15070        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801990        100.09901        100.09901        0.0000000        0.0000000        0.0000000        55475.000       0.89066444E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34296363        0.0000000       0.34296363        0.0000000       0.34295991       0.34296363        1.0000000        0.0000000       0.34296363        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42325000E-01   0.42325000E-01   -.16876831       0.12842404       0.12842404        0.0000000        0.0000000        0.0000000       -165.67037       -37.185398       -37.185398        0.0000000        0.0000000        0.0000000       0.70363738        0.0000000       0.38401598E-01    104.15271        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801872        100.09906        100.09906        0.0000000        0.0000000        0.0000000        55475.000       0.88961091E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34316816        0.0000000       0.34316816        0.0000000       0.34316444       0.34316816        1.0000000        0.0000000       0.34316816        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42350000E-01   0.42350000E-01   -.16886799       0.12850149       0.12850149        0.0000000        0.0000000        0.0000000       -165.67355       -37.186112       -37.186112        0.0000000        0.0000000        0.0000000       0.70373142        0.0000000       0.38402110E-01    104.15471        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801754        100.09912        100.09912        0.0000000        0.0000000        0.0000000        55475.000       0.88855925E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34337270        0.0000000       0.34337270        0.0000000       0.34336898       0.34337270        1.0000000        0.0000000       0.34337270        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42375000E-01   0.42375000E-01   -.16896768       0.12857893       0.12857893        0.0000000        0.0000000        0.0000000       -165.67673       -37.186825       -37.186825        0.0000000        0.0000000        0.0000000       0.70382547        0.0000000       0.38402622E-01    104.15671        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801636        100.09918        100.09918        0.0000000        0.0000000        0.0000000        55475.000       0.88750945E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34357723        0.0000000       0.34357723        0.0000000       0.34357351       0.34357723        1.0000000        0.0000000       0.34357723        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42400000E-01   0.42400000E-01   -.16906736       0.12865637       0.12865637        0.0000000        0.0000000        0.0000000       -165.67990       -37.187539       -37.187539        0.0000000        0.0000000        0.0000000       0.70391953        0.0000000       0.38403134E-01    104.15870        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801518        100.09924        100.09924        0.0000000        0.0000000        0.0000000        55475.000       0.88646151E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34378176        0.0000000       0.34378176        0.0000000       0.34377804       0.34378176        1.0000000        0.0000000       0.34378176        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42425000E-01   0.42425000E-01   -.16916705       0.12873382       0.12873382        0.0000000        0.0000000        0.0000000       -165.68309       -37.188253       -37.188253        0.0000000        0.0000000        0.0000000       0.70401359        0.0000000       0.38403647E-01    104.16070        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801399        100.09930        100.09930        0.0000000        0.0000000        0.0000000        55475.000       0.88541542E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34398629        0.0000000       0.34398629        0.0000000       0.34398257       0.34398629        1.0000000        0.0000000       0.34398629        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42450000E-01   0.42450000E-01   -.16926674       0.12881126       0.12881126        0.0000000        0.0000000        0.0000000       -165.68627       -37.188968       -37.188968        0.0000000        0.0000000        0.0000000       0.70410766        0.0000000       0.38404159E-01    104.16270        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801281        100.09936        100.09936        0.0000000        0.0000000        0.0000000        55475.000       0.88437119E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34419082        0.0000000       0.34419082        0.0000000       0.34418710       0.34419082        1.0000000        0.0000000       0.34419082        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42475000E-01   0.42475000E-01   -.16936642       0.12888870       0.12888870        0.0000000        0.0000000        0.0000000       -165.68946       -37.189683       -37.189683        0.0000000        0.0000000        0.0000000       0.70420173        0.0000000       0.38404673E-01    104.16471        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801163        100.09942        100.09942        0.0000000        0.0000000        0.0000000        55475.000       0.88332880E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34439535        0.0000000       0.34439535        0.0000000       0.34439164       0.34439535        1.0000000        0.0000000       0.34439535        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42500000E-01   0.42500000E-01   -.16946611       0.12896615       0.12896615        0.0000000        0.0000000        0.0000000       -165.69264       -37.190396       -37.190396        0.0000000        0.0000000        0.0000000       0.70429581        0.0000000       0.38405185E-01    104.16671        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.801045        100.09948        100.09948        0.0000000        0.0000000        0.0000000        55475.000       0.88228826E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34459989        0.0000000       0.34459989        0.0000000       0.34459617       0.34459989        1.0000000        0.0000000       0.34459989        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42525000E-01   0.42525000E-01   -.16956579       0.12904359       0.12904359        0.0000000        0.0000000        0.0000000       -165.69581       -37.191110       -37.191110        0.0000000        0.0000000        0.0000000       0.70438989        0.0000000       0.38405697E-01    104.16871        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.800927        100.09954        100.09954        0.0000000        0.0000000        0.0000000        55475.000       0.88124955E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34480442        0.0000000       0.34480442        0.0000000       0.34480070       0.34480442        1.0000000        0.0000000       0.34480442        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.42550000E-01   0.42550000E-01   -.16966548       0.12912104       0.12912104        0.0000000        0.0000000        0.0000000       -165.69900       -37.191825       -37.191825        0.0000000        0.0000000        0.0000000       0.70448398        0.0000000       0.38406210E-01    104.17071        1.0000000        1.0000000        1.0000002        0.0000000        0.0000000        99.800809        100.09960        100.09960        0.0000000        0.0000000        0.0000000        55475.000       0.88021268E-04    0.0000000        0.0000000        0.0000000        1.0000000       0.34500895        0.0000000       0.34500895        0.0000000       0.34500523       0.34500895        1.0000000        0.0000000       0.34500895        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
